Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1608,,0,17,418,23
1609,,0,17,418,23
1610,,0,16,418,24
1611,,0,17,418,23
1612,,0,17,418,23
1613,,0,17,418,23
1614,,0,17,418,23
1615,,0,17,418,23
1616,,0,17,418,23
1617,,0,16,418,25
1618,,0,16,418,24
1619,,0,16,418,24
1620,,0,17,418,23
1621,,0,17,418,24
1622,,0,16,418,25
1623,,0,16,418,24
1624,,0,16,418,25
1625,,0,17,418,24
1626,,0,17,418,23
1627,,0,17,418,23
1628,,0,17,418,23
1629,,0,17,418,23
1630,,0,17,418,23
1631,,0,17,418,23
1632,,0,16,418,24
1633,,0,16,418,24
1634,,0,16,418,24
1635,,0,16,418,24
1636,,0,17,418,23
1637,,0,16,418,24
1638,,0,16,418,24
1639,,0,16,418,24
1640,,0,17,418,23
1641,,0,17,418,23
1642,,0,17,418,23
1643,,0,17,418,23
1644,,0,17,418,23
1645,,0,17,418,23
1646,,0,17,418,24
1647,,0,17,418,24
1648,,0,16,418,25
1649,,0,17,418,24
1650,,0,17,418,24
1651,,0,17,418,23
1652,,0,17,418,23
1653,,0,17,418,23
1654,,0,17,418,23
1655,,0,16,418,24
1656,,0,17,418,23
1657,,0,17,418,23
1658,,0,17,418,23
1659,,0,17,418,23
1660,,0,16,418,24
1661,,0,17,418,23
1662,,0,14,418,55
1663,,0,17,418,23
1664,,0,17,418,23
1665,,0,17,418,23
1666,,0,0,418,40
1667,,0,0,418,40
1668,,169,0,249,37
1669,,0,0,418,43
1670,,37,0,352,47
1671,,37,0,381,51
1672,,38,0,349,55
1673,,39,0,347,57
1674,,179,0,205,59
1675,,179,16,204,45
1676,,181,19,100,44
1677,,181,22,101,43
1678,,181,25,100,44
1679,,181,27,100,42
1680,,284,25,134,44
1681,,284,26,134,43
1682,,285,26,133,43
1683,,285,26,133,43
1684,,285,26,133,43
1685,,285,26,133,43
1686,,285,26,133,43
1687,,284,25,134,44
1688,,181,27,100,42
1689,,180,25,101,44
1690,,180,24,101,43
1691,,180,20,101,43
1692,,179,17,102,44
1693,,179,7,204,52
1694,,74,0,311,57
1695,,37,0,350,55
1696,,37,0,351,53
1697,,37,0,381,49
1698,,37,0,352,45
1699,,0,0,418,41
1700,,0,0,418,40
1701,,0,0,418,40
1702,,0,0,418,40
1703,,0,17,418,23
1704,,0,17,418,23
1705,,0,16,418,25
1706,,0,17,418,23
1707,,0,17,418,23
1708,,0,17,418,24
1709,,0,16,418,24
1710,,0,16,418,24
1711,,0,16,418,24
1712,,0,17,418,23
1713,,0,16,418,24
1714,,0,16,418,24
1715,,0,16,418,24
1716,,0,16,418,24
1717,,0,17,418,23
1718,,0,17,418,23
1719,,0,17,418,23
1720,,0,17,418,23
1721,,0,17,418,23
1722,,0,17,418,23
1723,,0,17,418,23
1724,,0,17,418,23
1725,,0,17,418,23
1726,,0,17,418,23
1727,,0,16,418,25
1728,,0,16,418,24
1729,,0,16,418,24
1730,,0,16,418,24
1731,,0,16,418,24
1732,,0,17,418,23
1733,,0,16,418,24
1734,,0,16,418,24
1735,,0,16,418,24
1736,,0,16,418,24
1737,,0,17,418,24
1738,,0,17,418,24
1739,,0,17,418,23
1740,,0,16,418,24
